word,frequency
the,147200572
of,71312852
and,61465948
in,59036108
a,44367681
to,43506107
was,26758432
is,20844302
for,17820424
as,17138878
on,16912949
with,15265434
by,15051057
he,13075952
that,12189421
at,11617328
from,11200583
his,10606556
it,9683740
an,8256176
were,7022702
which,6421202
are,6331227
also,5429655
this,5260110
be,5243051
had,5126985
has,5039510
or,4899718
first,4804765
their,4368593
its,4366268
one,4039056
but,3978042
new,3971258
who,3941697
her,3879907
after,3824581
not,3815538
they,3733003
she,3729222
have,3526236
–,3425509
two,3366337
been,3272899
other,2841756
when,2747560
into,2586610
during,2571965
all,2526559
time,2424865
may,2373172
more,2275849
there,2228871
school,2159549
years,2132852
over,2131675
would,2121731
only,2090125
where,2019337
th,2008506
between,1988128
most,1987623
later,1964719
up,1938208
some,1859242
about,1847069
such,1843682
made,1837356
him,1833770
then,1831746
national,1826417
city,1808512
out,1807732
three,1794561
world,1780868
used,1773722
under,1772130
can,1758427
state,1735832
known,1728616
while,1724801
university,1709547
united,1702676
became,1693797
part,1681431
many,1664598
year,1658848
than,1641491
s,1622516
film,1608088
second,1591146
these,1590391
no,1588867
being,1577946
including,1574300
born,1558464
through,1550730
states,1532296
team,1521180
both,1520815
season,1519023
american,1511993
before,1497095
against,1443364
south,1440328
until,1400137
well,1387490
however,1384932
war,1363261
them,1341906
family,1341290
work,1296293
series,1292999
played,1286169
north,1282639
i,1279498
since,1275391
area,1274206
people,1264944
released,1261286
following,1245852
us,1245644
name,1244371
album,1235760
number,1234774
several,1229714
group,1209832
high,1209334
music,1190178
called,1180653
de,1170513
will,1169667
district,1165147
won,1156968
early,1156954
company,1147781
county,1141179
four,1123386
march,1095716
league,1080912
same,1080902
game,1076569
each,1076526
house,1073866
government,1064835
september,1063619
january,1061441
found,1051516
began,1045649
june,1044623
october,1035285
july,1023490
located,1016090
so,1016040
april,1009926
august,1004795
now,1001263
st,996641
use,987459
international,983204
west,980364
member,977209
november,976934
end,966793
december,962916
home,958601
club,955044
former,953425
public,950585
place,948109
held,946038
college,941675
named,941475
john,934368
took,932463
general,930975
town,929573
age,919215
population,907770
station,907448
because,907018
around,904157
church,897479
if,896350
any,891409
british,889032
york,888687
local,883592
served,878353
day,874396
did,873507
received,870245
february,869219
along,867861
could,867128
east,862009
based,860786
best,860003
back,858855
system,858214
due,857866
line,856106
song,848042
within,846893
river,840050
built,839633
football,835150
village,829138
party,828264
like,813845
another,811629
life,806933
major,804420
show,803015
members,802355
building,798263
games,795363
service,792264
small,785792
left,782626
main,774545
published,772954
century,772414
said,772087
died,770423
final,769292
band,768347
president,766935
species,765633
large,761522
include,759598
own,758523
last,755158
those,752536
five,752502
single,745804
set,745583
third,744626
included,737791
very,734255
still,731814
long,724490
although,717998
order,716847
book,715529
death,699219
army,693418
often,692203
moved,687563
road,683744
history,680305
among,679038
led,678533
what,675954
park,672746
original,668834
division,668764
french,664934
son,663068
different,660856
near,659631
law,659231
central,657040
times,656912
just,653733
late,652791
top,652579
english,648521
old,645817
great,643757
much,642513
development,640657
again,636616
community,636145
form,633511
down,631611
career,631268
off,631237
air,630861
million,629691
play,627189
side,625188
children,619361
even,618896
art,616523
court,615168
established,613053
german,610727
started,607515
water,607235
came,603571
went,603492
research,602833
center,601747
having,598963
power,596346
record,595683
make,594750
street,593607
country,592023
support,590904
according,589782
students,589268
council,586519
title,585825
way,584761
next,583052
land,580463
london,580212
role,577028
become,576923
various,575587
given,575410
white,573192
military,572532
education,569948
six,569784
using,569450
do,567428
king,566992
award,566284
father,565565
head,563425
period,561401
worked,555826
total,555214
produced,555095
player,554977
island,554669
television,553748
announced,552463
political,552402
western,552241
married,551101
joined,548843
office,544424
region,542572
created,541971
returned,539140
cup,538646
ii,538027
director,536886
business,533848
black,531416
take,530951
written,530933
described,530856
few,529365
point,528556
works,528529
without,524448
association,519492
young,518369
department,517799
championship,516999
field,516903
program,516289
production,514514
you,513767
royal,510817
england,507527
wrote,506262
together,501867
founded,501269
continued,500528
social,500516
days,500472
northern,500401
site,498030
per,497516
lost,496904
union,496566
man,494821
force,493984
radio,492199
though,489770
version,488365
further,487771
women,486667
teams,482368
act,482023
every,481024
professional,480175
live,479395
considered,478480
men,477698
southern,477436
m,474706
society,474587
opened,473218
election,470885
services,470741
project,470438
recorded,469624
european,469250
position,468733
we,468267
board,466482
summer,466097
run,465321
important,465115
appeared,463772
control,459978
william,457671
open,457586
level,453035
working,452774
win,452144
schools,452052
once,450150
san,448545
story,448260
formed,448012
design,447658
special,446851
making,444925
elected,443300
short,443039
common,441425
areas,441089
similar,439458
match,438290
appointed,437610
songs,437551
signed,437261
debut,436580
event,435733
addition,435256
developed,434621
average,432901
lead,432872
living,432054
video,431652
popular,430230
india,430183
battle,429786
wife,429707
forces,427774
railway,427406
hall,427397
france,426923
round,425756
currently,425718
james,424563
list,423776
red,423402
how,423144
originally,422506
la,422345
california,421869
result,421797
never,421498
minister,420193
police,419975
playing,419757
right,418755
himself,417686
example,416891
release,416847
australia,415213
records,414949
others,414711
george,414216
little,412410
modern,410394
case,410122
free,409897
across,409201
race,408293
c,408157
see,405700
good,405572
rock,403736
construction,399821
upon,399173
throughout,398908
language,398664
present,398323
players,397977
training,397524
science,397254
human,395799
eventually,395019
indian,394190
health,394189
sold,393630
class,392929
events,392903
points,392028
australian,391055
lake,390784
america,389992
information,387910
available,387444
away,386949
gave,386027
eastern,385406
groups,385300
body,384134
love,384040
route,383360
should,383311
taken,382844
current,382785
museum,380211
canada,379602
performed,379474
followed,378745
designed,378277
province,378016
seven,376426
refer,375514
finished,375372
official,374216
less,372091
tour,371744
daughter,371713
committee,370816
months,369174
does,368887
remained,368691
features,366866
coach,366390
b,365846
