word,frequency
de,40569116
la,22602153
le,17921792
et,15716535
à,13922107
en,13211486
les,10622425
des,10095328
du,9484795
est,8690559
un,6399943
il,6243316
dans,6064348
une,5571969
par,5350573
au,5027765
pour,4430752
qui,3802612
a,3363661
sur,3196023
que,3132511
son,3034228
avec,2827744
se,2518075
plus,2367594
id,2153323
sont,2140315
sa,1941443
elle,1903595
ce,1785034
ou,1706621
aux,1604747
été,1561003
comme,1507485
ses,1470598
cette,1444532
deux,1373353
mais,1242857
pas,1209808
-,1141800
ne,1129554
fait,1043690
après,1025920
entre,1024786
d'un,998688
d'une,963462
ont,930227
leur,821709
ainsi,782371
lui,777093
dont,771306
même,751655
lors,750360
était,747046
sous,746720
alors,743955
fut,743170
où,739392
ces,734157
également,721918
aussi,716447
premier,690320
on,675926
première,664881
depuis,662028
france,660549
nom,636458
puis,613368
ville,612529
ans,595993
partie,593646
être,589353
y,584652
qu'il,580879
trois,565341
plusieurs,552794
peut,536297
années,527776
ils,525445
groupe,517330
c'est,511617
commune,508826
très,496497
contre,495135
né,484578
français,483651
avant,479746
tout,469186
vers,456851
fin,453055
guerre,451752
selon,434247
fois,429599
mort,422900
monde,418161
sans,410936
bien,408946
paris,406484
notamment,404215
famille,401120
pays,397192
pendant,388966
grand,387588
nord,382937
place,382135
autres,381430
saison,378786
avait,376435
temps,367365
suite,365813
région,363725
sud,360064
leurs,357443
tous,354608
avoir,353504
titre,339905
faire,339396
cours,338049
encore,336796
peu,332028
the,331977
partir,329869
film,328694
devient,328653
nouveau,325646
grande,325391
si,325224
club,323227
quatre,318543
soit,317290
lieu,311253
général,307869
série,307639
située,302740
début,302391
tour,300433
quelques,296262
moins,295857
donc,291916
durant,291531
française,290606
village,289358
vie,285140
politique,284792
états-unis,283409
nouvelle,276886
fils,273575
nombre,269805
ensuite,269067
non,267195
ligne,267020
cet,264368
situé,261964
forme,257830
d'autres,257768
n'est,255572
tard,255264
centre,253487
société,252473
roi,251830
dès,251516
trouve,251062
dernier,248827
cependant,248489
deuxième,246556
jusqu'à,240364
population,240075
part,239794
département,239449
chaque,238054
nombreux,237432
près,235713
prix,234762
juin,234027
chez,232135
président,231274
l'équipe,230391
afin,229183
national,226932
face,225804
nationale,225641
père,224694
parti,224285
gouvernement,223617
mars,223559
mois,223538
mai,222988
certains,222981
permet,220135
tant,219471
souvent,218995
septembre,216969
étant,215912
autre,215563
étaient,215303
ayant,214824
',214549
compte,214107
juillet,213831
championnat,211643
celui,211302
of,211046
celle,210685
jeu,208276
janvier,207390
conseil,206899
pierre,206171
reste,205552
—,204621
doit,203327
nommé,202567
membre,201697
toujours,201543
cinq,200770
cas,199279
rue,199276
service,198661
jean,197860
l'église,197396
décembre,197384
parmi,197278
année,197165
habitants,196529
l'université,196509
carrière,196052
s'est,196045
octobre,195524
seconde,194938
toutes,194330
jour,193767
prend,193727
car,192793
période,191895
membres,191815
point,191557
niveau,190548
sera,190440
toute,189721
rôle,189053
grâce,188526
système,187945
projet,187786
troisième,187359
novembre,187337
premiers,186817
maison,186367
communes,185863
coupe,185647
l'année,185517
l'un,184908
château,183991
environ,183847
elles,183353
peuvent,183211
territoire,183189
avril,183024
football,182857
jeux,182434
espèce,181789
match,181352
août,180398
présente,180218
américain,179586
droit,177038
jeune,174496
jours,174240
exemple,173930
nombreuses,173418
effet,173219
poste,172694
chef,172647
musique,172257
province,171791
mondiale,171455
site,170644
long,169308
travail,169224
qu'elle,169179
succès,167604
février,167221
d’un,165295
album,164453
tête,164173
d’une,163765
sein,163149
liste,163087
personnes,162967
points,162736
corps,162138
rapport,160240
construction,160154
connu,159767
république,159708
furent,159459
l'état,158903
new,158391
ii,157221
siège,157017
pouvoir,156963
six,156612
seul,156396
enfants,156096
développement,155687
laquelle,155205
cela,153961
remporte,153901
fille,153831
finale,153769
communauté,153596
l'armée,153232
division,153077
joueur,152558
base,152261
femme,151725
lorsque,151628
participe,151128
route,151067
m,150562
création,150000
joue,149676
porte,149466
hommes,148984
loi,148970
l'histoire,148835
devant,148816
principale,148799
production,148775
raison,148457
ministre,148267
louis,148154
mise,148021
terre,148006
rencontre,147813
études,147724
public,147397
aujourd'hui,147383
déjà,147327
petit,147167
quand,146879
beaucoup,146685
côté,146326
but,146052
formula,146021
charles,145652
dernière,145624
n'a,144469
homme,144405
version,143982
international,143823
type,143035
mis,141050
direction,140846
écrit,140818
travaux,140284
parfois,140185
équipe,140061
terme,139998
l'est,139896
commence,139748
dit,139692
bataille,138433
date,138260
anglais,136739
chanson,136641
née,136360
rivière,135858
compagnie,135517
seulement,134670
formation,134316
milieu,134251
retour,134229
zone,134171
second,133996
ancien,133801
livre,132576
certaines,132371
militaire,131855
passe,131548
finalement,131344
produit,131168
l'ouest,131052
mouvement,130961
eu,130436
l'époque,130235
l'école,129114
malgré,128988
john,128685
surtout,128622
créé,128497
réseau,128484
va,128461
tandis,128102
ligue,127853
particulier,127843
utilisé,127442
jusqu'en,127420
donne,127220
genre,125959
recherche,125695
scène,125680
font,125325
élections,125292
différents,125071
plan,124863
saint,124543
directeur,124484
musée,124394
s'agit,124096
grands,123930
femmes,123839
autour,123748
obtient,123743
gare,123625
l'île,123572
théâtre,123349
ceux,122954
comté,122767
millions,122242
victoire,121545
mère,120551
suivante,120447
petite,120401
frère,119323
sorti,119285
plupart,119175
d'être,118869
principalement,118624
seule,118439
roman,118432
cadre,118251
réalisé,118063
britannique,117992
premières,117733
fonction,117626
langue,117396
toutefois,117319
cause,117319
parc,116930
bois,116191
domaine,115649
enfin,115644
l'ensemble,115489
lequel,114401
york,114252
jamais,114222
publié,113773
celui-ci,113598
aurait,113353
équipes,113320
quartier,113265
voir,113222
différentes,113199
canton,113108
d'abord,112518
appelé,112506
suivant,112442
mesure,111976
nouvelles,111651
mer,111623
style,111440
demande,111235
an,111063
haut,110934
paul,110698
manière,110396
gauche,110018
cour,109848
rejoint,109786
suisse,109223
américaine,108907
marque,108664
canada,108354
possède,108352
élu,108199
reçoit,107312
grandes,107225
allemand,106609
nous,106580
important,105707
généralement,105672
présence,105643
existe,105585
district,105506
françois,105218
professeur,105207
l'album,105171
donné,104919
matchs,104693
jeunes,104520
l'ordre,104505
propre,104333
fer,103524
construit,103374
voie,103241
résultats,102591
voit,102560
sept,102525
capitale,102437
travers,102421
référence,102408
moyenne,102313
moment,102010
classe,101986
principal,101952
culture,101774
l'une,101719
rapidement,101541
classement,101224
qu'ils,101012
meilleur,101005
fort,100132
lac,99874
journal,99480
groupes,99387
robert,99385
and,99324
moyen,99080
créée,98891
qu’il,98697
met,98378
œuvres,98270
composé,97955
sort,97925
retrouve,97870
eux,97654
forces,97529
etc,97508
époque,97503
épouse,97307
décide,97229
troupes,97177
qu'un,97153
œuvre,96563
avaient,96274
tels,96094
japon,95989
dix,95548
films,95411
jacques,95100
position,94867
l'on,94828
importante,94628
prendre,94519
londres,94476
l'origine,94429
termine,94343
compétition,94226
vue,94011
comte,93898
québec,93837
espèces,93759
lui-même,93725
force,93053
internationale,93012
services,92861
course,92778
auprès,92668
sortie,92565
sens,92412
programme,92411
l'âge,92019
comprend,91716
san,91694
campagne,91531
h,91464
e,91239
particulièrement,91206
mètres,91043
qu'une,90946
possible,90873
voix,90821
ni,90813
serait,90708
ensemble,90628
villes,90451
proche,90140
bâtiment,90073
europe,89984
ceinture,89893
révolution,89726
combat,89669
municipalité,89640
cinéma,89593
festival,89503
faisant,89322
droite,89205
rome,88990
champion,88923
station,88918
supérieur,88647
départ,88311
façon,88275
politiques,88068
chambre,87888
rouge,87874
personnage,87628
l'union,87624
d'origine,87620
atteint,87275
nouveaux,86939
championnats,86852
huit,86758
assez,86713
meurt,86672
russe,86643
contrôle,86581
royaume,86351
d,86237
c’est,85902
devenu,85723
aucun,85705
produits,85448
d'eau,85359
centrale,85329
belgique,85275
olympiques,85243
chine,85010
populaire,84928
droits,84813
fit,84665
outre,84613
total,84578
tournoi,84258
joueurs,84203
l'autre,84184
marie,83942
commission,83827
b,83752
semble,83609
stade,83455
ailleurs,83356
annonce,83350
sciences,83303
mission,83293
l'ancien,83283
trop,83118
état,82962
modèle,82919
ancienne,82752
large,82635
vallée,82488
pont,82445
comité,82194
heures,82185
titres,82082
chemin,82056
pris,81715
défense,81640
kilomètres,81558
i,81482
passage,81454
celle-ci,81288
signe,80948
mettre,80346
historique,80313
salle,80252
russie,80106
henri,79882
iii,79865
personne,79863
taux,79854
désormais,79781
économique,79617
situe,79596
pologne,79587
contrat,79406
prince,79350
générale,78732
activités,78730
chapelle,78729
devenir,78645
double,78431
celles,78282
quatrième,78242
situation,78172
vient,78120
source,77941
terrain,77801
européenne,77756
libre,77362
d'après,77171
david,77115
d'europe,77103
église,77079
in,77051
données,76974
marché,76887
plutôt,76804
simple,76785
histoire,76774
là,76518
van,76487
publie,76399
lignes,76336
principaux,76311
télévision,76262
derniers,76220
axe,76149
quitte,76143
pièces,76067
permettant,76018
technique,75979
critique,75978
éléments,75752
majorité,75634
michel,75612
maire,75596
duc,75204
découvert,75067
connue,74951
allemagne,74874
considéré,74847
parties,74787
compris,74758
maître,74727
joseph,74725
nuit,74597
allemande,74567
d'état,74406
cité,74186
palais,74080
taille,74063
historiques,73959
port,73806
s,73749
actuellement,73748
rend,73536
faut,73527
sécurité,73099
travaille,73078
d'or,72963
santé,72939
valeur,72906
célèbre,72865
philippe,72836
radio,72823
blanc,72737
jusqu'au,72717
aucune,72679
royal,72648
unique,72513
vidéo,72269
côte,72246
surface,72211
divers,72071
publique,72060
article,71855
presque,71785
quant,71700
représente,71609
fédération,71513
police,71457
commerce,71438
clubs,71313
personnages,71180
haute,71060
pratique,70996
néanmoins,70951
traité,70919
charge,70878
passé,70851
livres,70724
prise,70679
peintre,70669
savoir,70655
reçu,70630
longue,70594
apparaît,70539
sol,70534
nature,70447
italien,70272
fondée,70086
presse,70059
bande,70009
section,69958
qualité,69941
régions,69937
mariage,69830
îles,69813
anciens,69786
propose,69697
moitié,69669
fondé,69624
concernant,69547
conditions,69443
proximité,69067
chaîne,68963
ministère,68947
terres,68896
buts,68857
médaille,68706
reprises,68676
title,68478
représentant,68382
l'empire,68272
états,68169
concours,67960
régime,67848
qu'en,67824
italie,67673
l'eau,67664
sujet,67590
catholique,67585
je,67563
forte,67561
v,67436
mot,67307
appelée,67307
marine,67261
vitesse,67230
c,67150
certain,67064
zones,67009
recensement,66944
fonctions,66939
lettres,66891
doivent,66891
secrétaire,66745
côtés,66600
relations,66573
petits,66473
l'homme,66258
l'intérieur,66166
x,66125
dieu,66091
député,66073
comptait,65953
siècle,65936
revue,65825
fc,65787
réalise,65713
astéroïde,65690
affaires,65663
mode,65533
sud-est,65400
bon,65326
noir,65280
voïvodie,65269
l'association,65256
classé,65208
parlement,65103
secteur,65053
probablement,65006
utilisée,64850
bord,64831
naissance,64779
chansons,64626
capitaine,64615
édition,64615
thomas,64574
belge,64559
sud-ouest,64536
derrière,64468
longueur,64362
william,64342
arts,64311
°,64202
composée,64177
central,64123
pu,64037
main,63897
camp,63815
qu'à,63695
faible,63607
c'est-à-dire,63541
protection,63531
présent,63516
peuple,63485
demi-grand,63432
diverses,63389
l'occasion,63318
tours,63303
von,63200
minutes,63173
coup,63076
cœur,62967
âge,62840
dispose,62822
pièce,62772
structure,62762
joué,62713
artistes,62700
chargé,62685
frères,62644
continue,62601
militaires,62600
montre,62557
professionnel,62528
jouer,62521
tableau,62499
texte,62272
suit,62219
caractéristiques,62209
choix,62165
vit,61832
voyage,61803
allemands,61725
école,61706
gestion,61703
question,61650
james,61604
soutien,61466
directement,61423
couleur,61409
tournée,61333
bâtiments,61225
tel,61123
magazine,61005
collection,60959
monuments,60904
d'astéroïdes,60806
l'aide,60668
moteur,60650
créer,60442
éditions,60440
classique,60426
théorie,60373
décrit,60311
l'académie,60307
garde,60297
studio,60260
fondation,60118
nord-est,60053
construite,59827
george,59784
arrive,59773
nord-ouest,59768
supérieure,59750
vu,59669
latin,59659
hauteur,59528
rendre,59493
constitue,59404
pourrait,59379
code,59368
l'objet,59353
via,59322
mondial,59317
figure,59269
découverte,59246
reprend,59206
royaume-uni,59133
collège,59107
catégorie,59019
transport,59001
numéro,58985
neuf,58891
passer,58739
revient,58700
techniques,58682
donner,58638
loin,58539
langues,58532
mal,58505
record,58436
feu,58364
soldats,58350
devint,58322
pape,58313
japonais,58256
suivantes,58246
dernières,58198
courant,58181
georges,58148
statut,58098
richard,57949
eut,57702
problèmes,57623
bonne,57612
hockey,57591
crée,57578
sélection,57529
essentiellement,57498
phase,57482
noms,57449
frontière,57381
seront,57360
lyon,57299
formé,57293
nommée,57288
évolue,57238
saisons,57232
chacun,57211
formes,57158
longtemps,57069
justice,57060
parents,57050
officiellement,57011
puissance,56976
conseiller,56947
rock,56810
moderne,56707
forêt,56632
meilleure,56631
ami,56617
bureau,56466
pied,56455
devait,56374
inscrit,56349
royale,56194
association,56113
sociale,55983
congrès,55971
bassin,55913
quelque,55840
lieux,55711
désigner,55647
activité,55583
françaises,55552
défaite,55508
nouvel,55472
bas,55389
semaine,55359
paix,55352
suivi,55321
gouverneur,55314
littérature,55303
n'y,55257
originaire,55128
l'empereur,55114
mieux,55084
permettent,55046
l'ancienne,55045
nations,55001
canal,54981
débuts,54973
km,54944
scientifique,54751
l'abbaye,54733
entreprises,54704
remporté,54699
single,54685
l',54672
juifs,54532
rugby,54504
sources,54492
l'auteur,54260
croix,54245
ordre,54211
juste,54093
montréal,53983
utilise,53915
débute,53912
fond,53875
seigneur,53820
décision,53715
propriété,53714
obtenu,53688
permis,53643
américains,53620
los,53544
label,53508
recherches,53472
l'assemblée,53418
veut,53404
britanniques,53326
lettre,53270
berlin,53263
front,53223
sert,53146
vol,53091
l'organisation,53007
l'institut,52985
relation,52956
commandant,52871
circonscription,52752
physique,52700
tient,52694
trouver,52663
remplacé,52639
soviétique,52629
nicolas,52586
rejoindre,52536
ait,52473
semaines,52437
californie,52424
lycée,52411
régiment,52331
signifie,52318
sommet,52280
eaux,52241
limite,52179
constitution,52165
principales,52117
durée,52087
lutte,52076
sœur,52070
ouvert,51979
caractère,51950
superficie,51904
rive,51872
retraite,51831
lance,51828
régulièrement,51749
tradition,51740
navire,51723
couleurs,51720
réserve,51701
européen,51647
peinture,51440
matière,51437
suivants,51434
séries,51396
rien,51379
largement,51360
paroisse,51210
sport,51178
résistance,51131
s'il,51129
capacité,51063
comporte,51006
arrêté,51001
maisons,50989
textes,50975
contient,50921
cinquième,50914
perd,50894
journaliste,50866
navires,50834
temple,50803
critiques,50723
martin,50710
commencé,50647
entièrement,50634
jeunesse,50588
cathédrale,50575
règne,50569
participation,50556
familles,50534
auteurs,50483
chinois,50458
localité,50396
faisait,50374
train,50372
au-dessus,50303
déclare,50287
prison,50263
plantes,50210
ouest,50196
di,50172
petites,50168
d'art,50090
projets,50074
iv,50057
processus,50003
connaît,49998
guillaume,49962
l'art,49889
intitulé,49832
andré,49828
utilisés,49820
bibliothèque,49755
sites,49493
commandement,49335
conduit,49328
telles,49298
reine,49282
montagne,49253
liberté,49252
patrimoine,49213
participé,49145
l'arrivée,49077
angleterre,49060
religieux,49019
constitué,49013
d'ailleurs,48928
gmina,48918
distance,48875
bronze,48786
responsable,48735
social,48665
vont,48650
principe,48644
maintenant,48624
caractérisée,48619
l'a,48539
peut-être,48452
conflit,48432
cimetière,48431
armée,48412
trouvent,48358
difficile,48340
michael,48326
parvient,48217
locale,48203
locaux,48195
polonais,48183
épisodes,48161
faveur,48099
auteur,48021
déroule,48008
fonds,48002
champ,47987
objet,47898
problème,47860
amis,47810
claude,47764
construire,47756
offre,47688
espagne,47603
victoires,47492
écoles,47453
villages,47399
meilleurs,47326
l'élection,47285
futur,47168
d'argent,47146
filles,47142
développé,47096
orbite,47073
mont,47056
pays-bas,47043
brésil,47011
couple,46998
véritable,46995
commun,46994
mémoire,46862
permettre,46827
puisque,46806
doute,46802
fleuve,46796
court,46777
armes,46731
s'y,46680
autorités,46668
crise,46666
finit,46651
termes,46628
note,46492
pourtant,46469
del,46468
d'environ,46449
réalité,46421
art,46366
dollars,46362
vienne,46350
fortement,46337
n'ont,46220
el,46218
records,46174
grec,46172
parce,46117
traitement,46061
personnel,46032
appartenant,46024
ouvrages,46012
l'émission,46006
douze,45978
philosophie,45874
p,45852
basé,45820
sorte,45810
décret,45745
l'entreprise,45691
portant,45654
civile,45635
maladie,45620
uniquement,45602
bernard,45556
lumière,45542
ouvrage,45519
élevé,45483
cheval,45326
monument,45306
docteur,45199
méthode,45181
féminin,45178
entreprise,45017
acteur,45014
désigne,44946
nos,44934
actuel,44872
contrairement,44856
espagnol,44799
devenue,44793
l'été,44786
objets,44758
d'avoir,44745
manque,44742
collaboration,44741
importants,44733
systèmes,44718
soient,44631
hors,44600
autant,44563
réalisateur,44447
chute,44446
tombe,44442
évêque,44442
armées,44361
lesquels,44343
italienne,44339
d'été,44305
médecine,44281
tente,44233
organisé,44226
fondateur,44222
artistique,44216
périhélie,44169
types,44121
powiat,44116
pilote,44072
basse,44025
qu'on,43955
seuls,43928
naturel,43928
former,43901
propriétaire,43891
nécessaire,43811
morts,43804
afrique,43703
résultat,43679
diffusée,43575
municipal,43572
propres,43514
événements,43494
publiée,43447
journée,43433
officiel,43408
lendemain,43372
auparavant,43349
bruxelles,43345
candidat,43254
peine,43242
poids,43225
gros,43210
formule,43203
animaux,43201
pouvant,43181
vente,43138
publication,43054
initialement,42986
dispute,42972
moscou,42919
rang,42884
issu,42873
romain,42798
l'arrondissement,42776
étudiants,42740
décédé,42734
libération,42720
voire,42658
telle,42657
disque,42618
plein,42613
local,42596
reprise,42534
inclinaison,42494
dû,42490
dite,42480
notre,42471
dirige,42464
circuit,42459
gaz,42407
thème,42391
anciennes,42309
